disease_id,disease_name,context_summary,domain,symptoms,urgency_classification,urgency_justification,recommended_tests,prevalence,link
413,lactose intolerance,"Lactose intolerance is a reaction in your digestive system to lactose, the sugar in milk. It causes uncomfortable symptoms after you eat dairy products. Many people have difficulty digesting lactose, but not everyone experiences noticeable symptoms from it. If you do, it’s called lactose intolerance.",Gastroenterology / Hepatology,"nasal congestion, flatulence, impotence, burning abdominal pain, shortness of breath ",low,Usually managed with routine outpatient care,"How do you know if you’re lactose intolerant? You might suspect you’re lactose intolerant if you notice a pattern of gastrointestinal symptoms after you eat dairy products. However, many people with lactase deficiency can tolerate some lactose, sometimes. If you’re not sure whether lactose is affecting you, visit a healthcare provider. How do you test for lactose intolerance? Healthcare providers have several ways of testing for lactose intolerance. Common tests include: Hydrogen breath test . A breath test measures the amount of hydrogen and methane gases in your breath when you exhale. Bacteria in your colon produce these gases. If you have higher levels of these gases after ingesting lactose, it’s because your gut bacteria are fermenting the lactose, producing gas in your colon that can later be measured in your breath. Blood sugar test . If a breath test is inconclusive, a healthcare provider might suggest a blood glucose (blood sugar) test. This test measures the sugar content in your blood before and after you ingest lactose. If your blood sugar doesn’t rise, it shows you’re not absorbing the lactose. Stool acidity test . Healthcare providers use this test for small children and infants. After feeding a child lactose, they’ll take a poop (stool) sample and analyze the content. Levels of lactic acid and other byproducts in the sample can show whether or not the body is absorbing the lactose.","0.854, 0.744, 0.737, 0.569, 0.554",https://my.clevelandclinic.org/health/diseases/7317-lactose-intolerance
414,laryngitis,"Laryngitis is when you have inflammation of your larynx , also known as your voice box. It can develop because of overuse, irritation or infection of your vocal cords.",ENT / Otolaryngology,"throat feels tight, difficulty speaking, sore throat, fever, ear pain",mild,Usually needs treatment but not emergency,"How doctors diagnose laryngitis Healthcare providers usually diagnose laryngitis by asking about your symptoms and recent activities. They may also look in your throat and listen to your lungs. Tests generally aren’t necessary, but your provider might recommend them if they want to rule out certain conditions as the cause. Some tests they might recommend include: Biopsy CT scan Laryngoscopy Throat culture Your provider might recommend other tests, depending on what they suspect or want to rule out. They can tell you more about the tests and how they can help.","0.691, 0.660, 0.516, 0.514, 0.513",https://my.clevelandclinic.org/health/diseases/22268-laryngitis
415,lateral epicondylitis (tennis elbow),N/A,Musculoskeletal,"joint pain, hand or finger stiffness or tightness, hand or finger pain, arm pain, elbow pain",low,Usually managed with routine outpatient care,N/A,"0.741, 0.685, 0.670, 0.543, 0.525",N/A
416,leukemia,N/A,Oncology,"muscle stiffness or tightness, mouth pain, fatigue, fever",high,Potential malignancy needing prompt specialist care,N/A,"1.0, 0.6, 0.5, 0.4",N/A
417,lewy body dementia,Lewy body dementia (LBD) is a progressive brain disorder that happens when certain proteins called Lewy bodies build up in your brain cells. This makes it harder to think clearly and do everyday activities.,Neurology,"hostile behavior, depressive or psychotic symptoms, abnormal involuntary movements, disturbance of memory, delusions or hallucinations ",mild,Needs timely evaluation,"How doctors diagnose Lewy body dementia To make a diagnosis, your provider may use the following steps: Ask about your medical history and do a physical exam Do a neurological exam to check your thinking and memory and evaluate abnormal movement problems Order blood tests , cerebrospinal fluid test, a skin biopsy and brain scans (like a CT , MRI , SPECT or PET scan) Consider a neuropsychological assessment to clarify your cognitive profile Recommend a sleep study A team of specialists may work together to make a diagnosis. This team might include: Neurologists Psychiatrists Neuropsychologists Geriatricians They combine your test results and symptoms to determine if you have “probable LBD.” This means you most likely have the condition based on the information they have, even though there isn’t a single test that can say for sure.","0.835, 0.734, 0.632, 0.531, 0.481",https://my.clevelandclinic.org/health/diseases/17815-lewy-body-dementia
418,lice,N/A,Infectious Diseases,"nasal congestion, leg lump or mass, itchy scalp, cough, itching of skin",mild,Needs timely evaluation,N/A,"0.938, 0.846, 0.815, 0.584, 0.584",N/A
419,lichen planus,Lichen planus (like-en play-nes) is a skin condition that causes a rash to develop on one area of your body or several parts of your body at the same time. It can affect your:,Dermatology,"difficulty speaking, abnormal appearing skin, skin growth",mild,Needs timely evaluation,"How is lichen planus diagnosed? Your healthcare provider can typically diagnose lichen planus after assessing your symptoms and conducting a physical exam. They may look for characteristics known as the “six Ps” that help diagnose lichen planus: Advertisement Pruritic (They’re itchy). Polygonal (Your rash shape has many sharp angles). Planar (The top is flat). Purple papules (bumps). Plaques (raised, discolored, patches). If there’s any doubt, your healthcare provider may perform the following tests: Allergy test . An allergy test can determine if you have an allergy that’s causing your lichen planus flare-up. Biopsy . Your healthcare provider will use a thin blade (scalpel) or a punch tool to collect a small sample of skin from your rash. Your skin sample goes to a laboratory for testing and pathologists examines it under a microscope. Hepatitis C test . Lichen planus is sometimes associated with the hepatitis C virus.","1.0, 1.0, 1.0",https://my.clevelandclinic.org/health/diseases/17723-lichen-planus
420,lichen simplex,N/A,Dermatology,"vaginal itching, difficulty speaking, itching of skin, skin lesion, skin rash",low,Usually managed with routine outpatient care,N/A,"0.932, 0.813, 0.610, 0.559, 0.542",N/A
421,lipoma,"A lipoma is a round or oval-shaped lump of tissue that grows just beneath the skin. It’s made of fat, moves easily when you touch it and doesn’t usually cause pain. Lipomas can appear anywhere on the body, but they’re most common on the back, trunk (torso), arms, shoulders and neck.",Oncology,"bones are painful, groin mass, arm lump or mass, abnormal appearing skin, shoulder lump or mass ",low,Usually benign or slow-growing,"How are lipomas diagnosed? Providers usually diagnose a lipoma during a physical examination. Your provider will touch the lipoma and ask if it’s painful or tender. You may need a biopsy to confirm that the lipoma isn’t cancer. During this procedure, your provider removes a sample of the lipoma and sends it to a lab for testing. Oftentimes, these may be mistaken for a cyst. To see a clear picture of this lump, your provider may order an imaging test such as an ultrasound , magnetic resonance imaging (MRI) scan, or computed tomography (CT) scan . These imaging studies help your provider determine if it is a lipoma versus a cyst. It can also help identify the lipoma’s location and how deep it is if it has blood vessels and whether it’s pressing against nerves or other tissues. What are the types of lipomas? All lipomas are made of fat. Some lipomas also contain blood vessels or other tissues. There are several types of lipomas, including: Angiolipoma : This type contains fat and blood vessels. Angiolipomas are often painful. Conventional: The most common type, a conventional lipoma contains white fat cells. White fat cells store energy. Fibrolipoma: Fat and fibrous tissue make up this type of lipoma. Hibernoma: This kind of lipoma contains brown fat. Most other lipomas contain white fat. Brown fat cells generate heat and help regulate body temperature. Myelolipoma: These lipomas contain fat and tissues that produce blood cells. Spindle cell : The fat cells in these lipomas are longer than they are wide. Pleomorphic: These lipomas have fat cells of various sizes and shapes. Advertisement","0.682, 0.656, 0.521, 0.516, 0.511",https://my.clevelandclinic.org/health/diseases/15008-lipomas
422,liver cancer,Liver cancer is a cancer that's found anywhere in the liver.,Oncology,"groin mass, decreased appetite, sharp abdominal pain, stomach bloating, upper abdominal pain ",high,Potential malignancy needing prompt specialist care,"Main tests for liver cancer
You will need tests and scans to check for liver cancer if the GP refers you to a specialist.
These tests can include: blood tests, scans, like an ultrasound scan, CT scan or MRI scan, collecting a small sample of cells from the liver (called a biopsy), to be checked for cancer","0.938, 0.653, 0.571, 0.571, 0.489",https://www.nhs.uk/conditions/liver-cancer/
423,liver disease,"Your liver is a large and powerful organ that performs hundreds of essential functions in your body. One of its most important functions is filtering toxins from your blood. While your liver is well-equipped for this job, its role as a filter makes it vulnerable to the toxins it processes. Too many toxins can overwhelm your liver’s resources and ability to function. This can happen temporarily or over a long period of time.",Gastroenterology / Hepatology,"upper abdominal pain, nausea, blood in stool, peripheral edema, jaundice",mild,Needs timely evaluation,"How do you test for liver disease?
A healthcare provider checking for liver disease will begin by physically examining you. They’ll look for visible signs and ask about your symptoms. They may also ask about your diet, lifestyle and health history. Finally, they’ll use lab tests and imaging scans to check for liver disease. These may include:
Blood tests. A panel of liver function tests can show signs of liver disease, liver disease severity and liver failure. These measure liver products like liver enzymes, proteins and bilirubin levels in your blood. Blood tests may also indicate inflammation, specific diseases or side effects, like reduced blood clotting.
Imaging tests. An abdominal ultrasound, CT scan (computed tomography scan) or MRI (magnetic resonance imaging) can show the size, shape and texture of your liver. This can reveal inflammation and swelling, growths and fibrosis.
Elastography. A special type of imaging test called elastography uses ultrasound or MRI technology to measure the level of stiffness or fibrosis in your liver.
Endoscopy. If your provider needs to see inside your biliary tract, they might need to use a type of endoscopic imaging. Endoscopy involves passing a tiny camera (endoscope) through your upper GI tract. From the endoscope, they can use EUS or ERCP to see your bile ducts.
Nuclear medicine imaging. A nuclear liver and spleen scan uses a gamma camera to detect a (harmless) radioactive tracer material that’s injected into your body. How your liver absorbs the tracer will highlight the areas that aren’t functioning normally.
Liver biopsy. A liver biopsy is a minor procedure to take a small tissue sample from your liver to test in a lab. A healthcare provider can usually take the sample through a hollow needle. You might need a liver biopsy to check for cancer or confirm cirrhosis and help determine the cause.","0.524, 0.521, 0.511, 0.510, 0.509",https://my.clevelandclinic.org/health/diseases/17179-liver-disease
